ID Google Scholar,Name,Affiliation,Citations,Profile URL
pT7Nc3wAAAAJ,Angela Justina Kumalaputri,Lecturer at Parahyangan Catholic University,483,https://scholar.google.com/citations?hl=en&user=pT7Nc3wAAAAJ
M-JnlHkAAAAJ,Herry Santoso,Parahyangan Catholic University,482,https://scholar.google.com/citations?hl=en&user=M-JnlHkAAAAJ
JHrtv9gAAAAJ,Nerru Pranuta Murnaka,Universitas Katolik Parahyangan,470,https://scholar.google.com/citations?hl=en&user=JHrtv9gAAAAJ
2bJ8Q1QAAAAJ,Martin Wijaya,Parahyangan Catholic University,470,https://scholar.google.com/citations?hl=en&user=2bJ8Q1QAAAAJ
KlGV8P0AAAAJ,Tutik Rachmawati,Parahyangan Catholic University,466,https://scholar.google.com/citations?hl=en&user=KlGV8P0AAAAJ
eU1IQGQAAAAJ,Daniel Hermawan,Parahyangan Catholic University,454,https://scholar.google.com/citations?hl=en&user=eU1IQGQAAAAJ
cY4XPS8AAAAJ,Mia Wimala,Universitas Katolik Parahyangan,452,https://scholar.google.com/citations?hl=en&user=cY4XPS8AAAAJ
zCo78Z4AAAAJ,Bartolomeus Samho,Universitas Katolik Parahyangan,438,https://scholar.google.com/citations?hl=en&user=zCo78Z4AAAAJ
hQBsgykAAAAJ,Veronica S. Moertini,"Lecturer, Informatics Department, Parahyangan Catholic University",436,https://scholar.google.com/citations?hl=en&user=hQBsgykAAAAJ
JtJKCRoAAAAJ,Carles Sitompul,Universitas Katolik Parahyangan,436,https://scholar.google.com/citations?hl=en&user=JtJKCRoAAAAJ
4SRm83kAAAAJ,Hie Maria Inggrid,Universitas katolik parahyangan,433,https://scholar.google.com/citations?hl=en&user=4SRm83kAAAAJ
LPDD-3wAAAAJ,Amelia Setiawan,Parahyangan Catholic University,429,https://scholar.google.com/citations?hl=en&user=LPDD-3wAAAAJ
u3cLuhQAAAAJ,Doddi Yudianto,Universitas Katolik Parahyangan,428,https://scholar.google.com/citations?hl=en&user=u3cLuhQAAAAJ
Ub-AWNoAAAAJ,Theresia Gunawan,Parahyangan Catholic University,394,https://scholar.google.com/citations?hl=en&user=Ub-AWNoAAAAJ
b76bbisAAAAJ,Budijanto Widjaja,Parahyangan Catholic University,390,https://scholar.google.com/citations?hl=en&user=b76bbisAAAAJ
